,pos: 0,pos: 1,pos: 2,pos: 3,pos: 4,pos: 5,pos: 6,pos: 7,pos: 8,Best Move
276,1,0,0,0,0,0,0,0,0,4
277,1,0,0,0,2,0,0,0,0,2
278,1,0,1,0,2,0,0,0,0,1
279,1,2,1,0,2,0,0,0,0,5
280,1,2,1,0,2,1,0,0,0,7
281,0,0,0,0,0,0,0,0,0,3
282,0,0,0,1,0,0,0,0,0,4
283,0,0,0,1,2,0,0,0,0,6
284,0,0,0,1,2,0,1,0,0,0
285,2,0,0,1,2,0,1,0,0,8
286,2,0,0,1,2,0,1,0,1,1
287,2,2,0,1,2,0,1,0,1,2
288,2,2,1,1,2,0,1,0,1,7
289,0,0,0,0,0,0,0,0,0,6
290,0,0,0,0,0,0,1,0,0,4
291,0,0,0,0,2,0,1,0,0,0
292,1,0,0,0,2,0,1,0,0,3
293,1,0,0,2,2,0,1,0,0,5
294,1,0,0,2,2,1,1,0,0,1
295,1,2,0,2,2,1,1,0,0,7
296,1,2,0,2,2,1,1,1,0,8
297,1,2,0,2,2,1,1,1,2,2
298,0,0,0,0,0,0,0,0,0,3
299,0,0,0,1,0,0,0,0,0,4
300,0,0,0,1,2,0,0,0,0,0
301,1,0,0,1,2,0,0,0,0,6
302,1,0,0,1,2,0,2,0,0,2
303,1,0,1,1,2,0,2,0,0,1
304,1,2,1,1,2,0,2,0,0,7
305,1,2,1,1,2,0,2,1,0,8
306,1,2,1,1,2,0,2,1,2,5
307,0,0,0,0,0,0,0,0,0,4
308,0,0,0,0,1,0,0,0,0,0
309,2,0,0,0,1,0,0,0,0,7
310,2,0,0,0,1,0,0,1,0,6
311,2,0,0,0,1,0,2,1,0,3
312,2,0,0,1,1,0,2,1,0,1
313,2,2,0,1,1,0,2,1,0,2
314,2,2,1,1,1,0,2,1,0,5
315,2,2,1,1,1,2,2,1,0,8
316,0,0,0,0,0,0,0,0,0,0
317,1,0,0,0,0,0,0,0,0,4
318,1,0,0,0,2,0,0,0,0,6
319,1,0,0,0,2,0,1,0,0,3
320,1,0,0,2,2,0,1,0,0,5
321,1,0,0,2,2,1,1,0,0,7
322,1,0,0,2,2,1,1,2,0,1
323,1,1,0,2,2,1,1,2,0,2
324,1,1,2,2,2,1,1,2,0,8
325,0,0,0,0,0,0,0,0,0,6
326,0,0,0,0,0,0,1,0,0,4
327,0,0,0,0,2,0,1,0,0,0
328,1,0,0,0,2,0,1,0,0,3
329,1,0,0,2,2,0,1,0,0,1
330,1,1,0,2,2,0,1,0,0,2
331,1,1,2,2,2,0,1,0,0,5
332,1,1,2,2,2,1,1,0,0,7
333,1,1,2,2,2,1,1,2,0,8
334,0,0,0,0,0,0,0,0,0,0
335,1,0,0,0,0,0,0,0,0,4
336,1,0,0,0,2,0,0,0,0,2
337,1,0,1,0,2,0,0,0,0,1
338,1,2,1,0,2,0,0,0,0,3
339,1,2,1,1,2,0,0,0,0,6
340,1,2,1,1,2,0,2,0,0,7
341,1,2,1,1,2,0,2,1,0,8
342,1,2,1,1,2,0,2,1,2,5
343,0,0,0,0,0,0,0,0,0,0
344,1,0,0,0,0,0,0,0,0,4
345,1,0,0,0,2,0,0,0,0,2
346,1,0,1,0,2,0,0,0,0,1
347,1,2,1,0,2,0,0,0,0,7
348,1,2,1,0,2,0,0,1,0,5
349,1,2,1,0,2,2,0,1,0,3
350,1,2,1,1,2,2,0,1,0,6
351,1,2,1,1,2,2,2,1,0,8
352,0,0,0,0,0,0,0,0,0,4
353,0,0,0,0,1,0,0,0,0,0
354,2,0,0,0,1,0,0,0,0,6
355,2,0,0,0,1,0,1,0,0,2
356,2,0,2,0,1,0,1,0,0,1
357,2,1,2,0,1,0,1,0,0,7
358,2,1,2,0,1,0,1,2,0,5
359,2,1,2,0,1,1,1,2,0,3
360,2,1,2,2,1,1,1,2,0,8
361,0,0,0,0,0,0,0,0,0,2
362,0,0,1,0,0,0,0,0,0,4
363,0,0,1,0,2,0,0,0,0,0
364,1,0,1,0,2,0,0,0,0,1
365,1,2,1,0,2,0,0,0,0,3
366,1,2,1,1,2,0,0,0,0,6
367,1,2,1,1,2,0,2,0,0,7
368,1,2,1,1,2,0,2,1,0,5
369,1,2,1,1,2,2,2,1,0,8
370,0,0,0,0,0,0,0,0,0,0
371,1,0,0,0,0,0,0,0,0,4
372,1,0,0,0,2,0,0,0,0,5
373,1,0,0,0,2,1,0,0,0,6
374,1,0,0,0,2,1,2,0,0,2
375,1,0,1,0,2,1,2,0,0,1
376,1,2,1,0,2,1,2,0,0,7
377,1,2,1,0,2,1,2,1,0,8
378,1,2,1,0,2,1,2,1,2,3
379,0,0,0,0,0,0,0,0,0,2
380,0,0,1,0,0,0,0,0,0,0
381,2,0,1,0,0,0,0,0,0,4
382,2,0,1,0,1,0,0,0,0,6
383,2,0,1,0,1,0,2,0,0,3
384,2,0,1,1,1,0,2,0,0,5
385,2,0,1,1,1,2,2,0,0,1
386,2,1,1,1,1,2,2,0,0,7
387,2,1,1,1,1,2,2,2,0,8
388,0,0,0,0,0,0,0,0,0,3
389,0,0,0,1,0,0,0,0,0,4
390,0,0,0,1,2,0,0,0,0,0
391,1,0,0,1,2,0,0,0,0,6
392,1,0,0,1,2,0,2,0,0,2
393,1,0,1,1,2,0,2,0,0,1
394,1,2,1,1,2,0,2,0,0,7
395,1,2,1,1,2,0,2,1,0,8
396,1,2,1,1,2,0,2,1,2,5
397,0,0,0,0,0,0,0,0,0,4
398,0,0,0,0,1,0,0,0,0,0
399,2,0,0,0,1,0,0,0,0,6
400,2,0,0,0,1,0,1,0,0,2
401,2,0,2,0,1,0,1,0,0,1
402,2,1,2,0,1,0,1,0,0,7
403,2,1,2,0,1,0,1,2,0,5
