,pos: 0,pos: 1,pos: 2,pos: 3,pos: 4,pos: 5,pos: 6,pos: 7,pos: 8,Best Move
245,2,1,0,0,2,0,1,0,1,5
246,2,1,0,0,2,2,1,0,1,3
247,2,1,0,1,2,2,1,0,1,7
248,2,1,0,1,2,2,1,2,1,2
249,0,0,0,0,0,0,0,0,0,0
250,1,0,0,0,0,0,0,0,0,4
251,1,0,0,0,2,0,0,0,0,2
252,1,0,1,0,2,0,0,0,0,1
253,1,2,1,0,2,0,0,0,0,7
254,1,2,1,0,2,0,0,1,0,5
255,1,2,1,0,2,2,0,1,0,3
256,1,2,1,1,2,2,0,1,0,6
257,1,2,1,1,2,2,2,1,0,8
258,0,0,0,0,0,0,0,0,0,0
259,1,0,0,0,0,0,0,0,0,4
260,1,0,0,0,2,0,0,0,0,6
261,1,0,0,0,2,0,1,0,0,3
262,1,0,0,2,2,0,1,0,0,5
263,1,0,0,2,2,1,1,0,0,7
264,1,0,0,2,2,1,1,2,0,1
265,1,1,0,2,2,1,1,2,0,2
266,1,1,2,2,2,1,1,2,0,8
267,0,0,0,0,0,0,0,0,0,3
268,0,0,0,1,0,0,0,0,0,0
269,2,0,0,1,0,0,0,0,0,4
270,2,0,0,1,1,0,0,0,0,5
271,2,0,0,1,1,2,0,0,0,1
272,2,1,0,1,1,2,0,0,0,7
273,2,1,0,1,1,2,0,2,0,6
274,2,1,0,1,1,2,1,2,0,2
275,2,1,2,1,1,2,1,2,0,8
276,0,0,0,0,0,0,0,0,0,4
277,0,0,0,0,1,0,0,0,0,0
278,2,0,0,0,1,0,0,0,0,1
279,2,1,0,0,1,0,0,0,0,7
280,2,1,0,0,1,0,0,2,0,3
281,2,1,0,1,1,0,0,2,0,5
282,2,1,0,1,1,2,0,2,0,2
283,2,1,1,1,1,2,0,2,0,6
284,2,1,1,1,1,2,2,2,0,8
285,0,0,0,0,0,0,0,0,0,1
286,0,1,0,0,0,0,0,0,0,4
287,0,1,0,0,2,0,0,0,0,2
288,0,1,1,0,2,0,0,0,0,0
289,2,1,1,0,2,0,0,0,0,8
290,2,1,1,0,2,0,0,0,1,3
291,2,1,1,2,2,0,0,0,1,5
292,0,0,0,0,0,0,0,0,0,0
293,1,0,0,0,0,0,0,0,0,4
294,1,0,0,0,2,0,0,0,0,2
295,1,0,1,0,2,0,0,0,0,1
296,1,2,1,0,2,0,0,0,0,3
297,1,2,1,1,2,0,0,0,0,6
298,1,2,1,1,2,0,2,0,0,7
299,1,2,1,1,2,0,2,1,0,8
300,1,2,1,1,2,0,2,1,2,5
301,0,0,0,0,0,0,0,0,0,1
302,0,1,0,0,0,0,0,0,0,4
303,0,1,0,0,2,0,0,0,0,2
304,0,1,1,0,2,0,0,0,0,0
305,2,1,1,0,2,0,0,0,0,8
306,2,1,1,0,2,0,0,0,1,3
307,2,1,1,2,2,0,0,0,1,5
308,0,0,0,0,0,0,0,0,0,0
309,1,0,0,0,0,0,0,0,0,4
310,1,0,0,0,2,0,0,0,0,2
311,1,0,1,0,2,0,0,0,0,1
312,1,2,1,0,2,0,0,0,0,3
313,1,2,1,1,2,0,0,0,0,6
314,1,2,1,1,2,0,2,0,0,7
315,1,2,1,1,2,0,2,1,0,5
316,1,2,1,1,2,2,2,1,0,8
317,0,0,0,0,0,0,0,0,0,0
318,1,0,0,0,0,0,0,0,0,4
319,1,0,0,0,2,0,0,0,0,6
320,1,0,0,0,2,0,1,0,0,3
321,1,0,0,2,2,0,1,0,0,5
322,1,0,0,2,2,1,1,0,0,1
323,1,2,0,2,2,1,1,0,0,7
324,1,2,0,2,2,1,1,1,0,8
325,1,2,0,2,2,1,1,1,2,2
326,0,0,0,0,0,0,0,0,0,6
327,0,0,0,0,0,0,1,0,0,0
328,2,0,0,0,0,0,1,0,0,3
329,2,0,0,1,0,0,1,0,0,4
330,2,0,0,1,2,0,1,0,0,8
331,2,0,0,1,2,0,1,0,1,1
332,2,2,0,1,2,0,1,0,1,7
333,0,0,0,0,0,0,0,0,0,2
334,0,0,1,0,0,0,0,0,0,4
335,0,0,1,0,2,0,0,0,0,0
336,1,0,1,0,2,0,0,0,0,1
337,1,2,1,0,2,0,0,0,0,7
338,1,2,1,0,2,0,0,1,0,3
339,1,2,1,2,2,0,0,1,0,5
340,1,2,1,2,2,1,0,1,0,8
341,1,2,1,2,2,1,0,1,2,6
342,0,0,0,0,0,0,0,0,0,2
343,0,0,1,0,0,0,0,0,0,0
344,2,0,1,0,0,0,0,0,0,4
345,2,0,1,0,1,0,0,0,0,6
346,2,0,1,0,1,0,2,0,0,3
347,2,0,1,1,1,0,2,0,0,5
348,2,0,1,1,1,2,2,0,0,1
349,2,1,1,1,1,2,2,0,0,7
350,2,1,1,1,1,2,2,2,0,8
351,0,0,0,0,0,0,0,0,0,1
352,0,1,0,0,0,0,0,0,0,4
353,0,1,0,0,2,0,0,0,0,0
354,1,1,0,0,2,0,0,0,0,2
355,1,1,2,0,2,0,0,0,0,6
356,1,1,2,0,2,0,1,0,0,3
357,1,1,2,2,2,0,1,0,0,5
358,1,1,2,2,2,1,1,0,0,7
359,1,1,2,2,2,1,1,2,0,8
360,0,0,0,0,0,0,0,0,0,0
361,1,0,0,0,0,0,0,0,0,4
362,1,0,0,0,2,0,0,0,0,1
363,1,1,0,0,2,0,0,0,0,2
364,1,1,2,0,2,0,0,0,0,6
365,1,1,2,0,2,0,1,0,0,3
366,1,1,2,2,2,0,1,0,0,5
367,1,1,2,2,2,1,1,0,0,8
368,1,1,2,2,2,1,1,0,2,7
369,0,0,0,0,0,0,0,0,0,4
370,0,0,0,0,1,0,0,0,0,0
371,2,0,0,0,1,0,0,0,0,1
372,2,1,0,0,1,0,0,0,0,6
373,2,1,0,0,1,0,2,0,0,3
374,2,1,0,1,1,0,2,0,0,7
375,2,1,0,1,1,0,2,2,0,5
376,0,0,0,0,0,0,0,0,0,1
377,0,1,0,0,0,0,0,0,0,4
378,0,1,0,0,2,0,0,0,0,2
379,0,1,1,0,2,0,0,0,0,0
380,2,1,1,0,2,0,0,0,0,8
381,2,1,1,0,2,0,0,0,1,3
382,2,1,1,2,2,0,0,0,1,5
383,0,0,0,0,0,0,0,0,0,3
384,0,0,0,1,0,0,0,0,0,4
385,0,0,0,1,2,0,0,0,0,6
386,0,0,0,1,2,0,1,0,0,0
387,2,0,0,1,2,0,1,0,0,8
388,2,0,0,1,2,0,1,0,1,1
389,2,2,0,1,2,0,1,0,1,7
390,0,0,0,0,0,0,0,0,0,4
391,0,0,0,0,1,0,0,0,0,0
392,2,0,0,0,1,0,0,0,0,2
393,2,0,1,0,1,0,0,0,0,6
394,2,0,1,0,1,0,2,0,0,3
395,2,0,1,1,1,0,2,0,0,5
396,2,0,1,1,1,2,2,0,0,7
397,2,0,1,1,1,2,2,1,0,1
398,2,2,1,1,1,2,2,1,0,8
399,0,0,0,0,0,0,0,0,0,8
400,0,0,0,0,0,0,0,0,1,0
401,2,0,0,0,0,0,0,0,1,1
402,2,1,0,0,0,0,0,0,1,6
403,2,1,0,0,0,0,2,0,1,3
404,2,1,0,1,0,0,2,0,1,4
405,2,1,0,1,2,0,2,0,1,2
406,2,1,1,1,2,0,2,0,1,5
407,2,1,1,1,2,2,2,0,1,7
408,0,0,0,0,0,0,0,0,0,3
409,0,0,0,1,0,0,0,0,0,0
410,2,0,0,1,0,0,0,0,0,4
411,2,0,0,1,1,0,0,0,0,5
412,2,0,0,1,1,2,0,0,0,1
413,2,1,0,1,1,2,0,0,0,7
414,2,1,0,1,1,2,0,2,0,2
415,2,1,1,1,1,2,0,2,0,6
416,2,1,1,1,1,2,2,2,0,8
417,0,0,0,0,0,0,0,0,0,0
418,1,0,0,0,0,0,0,0,0,4
419,1,0,0,0,2,0,0,0,0,6
420,1,0,0,0,2,0,1,0,0,3
421,1,0,0,2,2,0,1,0,0,5
422,1,0,0,2,2,1,1,0,0,1
423,1,2,0,2,2,1,1,0,0,7
424,1,2,0,2,2,1,1,1,0,8
425,1,2,0,2,2,1,1,1,2,2
426,0,0,0,0,0,0,0,0,0,0
427,1,0,0,0,0,0,0,0,0,4
428,1,0,0,0,2,0,0,0,0,2
429,1,0,1,0,2,0,0,0,0,1
430,1,2,1,0,2,0,0,0,0,3
431,1,2,1,1,2,0,0,0,0,6
432,1,2,1,1,2,0,2,0,0,7
433,1,2,1,1,2,0,2,1,0,8
434,1,2,1,1,2,0,2,1,2,5
435,0,0,0,0,0,0,0,0,0,0
436,1,0,0,0,0,0,0,0,0,4
437,1,0,0,0,2,0,0,0,0,1
438,1,1,0,0,2,0,0,0,0,2
439,1,1,2,0,2,0,0,0,0,6
440,1,1,2,0,2,0,1,0,0,3
441,1,1,2,2,2,0,1,0,0,5
442,1,1,2,2,2,1,1,0,0,7
443,1,1,2,2,2,1,1,2,0,8
444,0,0,0,0,0,0,0,0,0,2
445,0,0,1,0,0,0,0,0,0,0
446,2,0,1,0,0,0,0,0,0,4
447,2,0,1,0,1,0,0,0,0,6
448,2,0,1,0,1,0,2,0,0,3
449,2,0,1,1,1,0,2,0,0,5
450,2,0,1,1,1,2,2,0,0,1
451,2,1,1,1,1,2,2,0,0,7
452,2,1,1,1,1,2,2,2,0,8
453,0,0,0,0,0,0,0,0,0,0
454,1,0,0,0,0,0,0,0,0,4
455,1,0,0,0,2,0,0,0,0,6
456,1,0,0,0,2,0,1,0,0,3
457,1,0,0,2,2,0,1,0,0,1
458,1,1,0,2,2,0,1,0,0,2
459,1,1,2,2,2,0,1,0,0,5
460,1,1,2,2,2,1,1,0,0,8
461,1,1,2,2,2,1,1,0,2,7
462,0,0,0,0,0,0,0,0,0,2
463,0,0,1,0,0,0,0,0,0,4
464,0,0,1,0,2,0,0,0,0,8
465,0,0,1,0,2,0,0,0,1,1
466,0,2,1,0,2,0,0,0,1,3
467,0,2,1,1,2,0,0,0,1,7
468,0,0,0,0,0,0,0,0,0,4
469,0,0,0,0,1,0,0,0,0,0
470,2,0,0,0,1,0,0,0,0,2
471,2,0,1,0,1,0,0,0,0,6
472,2,0,1,0,1,0,2,0,0,3
473,2,0,1,1,1,0,2,0,0,5
474,2,0,1,1,1,2,2,0,0,1
475,2,1,1,1,1,2,2,0,0,7
476,2,1,1,1,1,2,2,2,0,8
477,0,0,0,0,0,0,0,0,0,4
478,0,0,0,0,1,0,0,0,0,0
479,2,0,0,0,1,0,0,0,0,3
480,2,0,0,1,1,0,0,0,0,5
481,2,0,0,1,1,2,0,0,0,1
482,2,1,0,1,1,2,0,0,0,7
483,2,1,0,1,1,2,0,2,0,6
484,2,1,0,1,1,2,1,2,0,2
485,2,1,2,1,1,2,1,2,0,8
486,0,0,0,0,0,0,0,0,0,0
487,1,0,0,0,0,0,0,0,0,4
488,1,0,0,0,2,0,0,0,0,1
489,1,1,0,0,2,0,0,0,0,2
490,1,1,2,0,2,0,0,0,0,6
